TimeStamp,Value
1/01/2006 00:01:00,100.0101
1/01/2006 00:02:00,99.9845
1/01/2006 00:03:00,99.98796
1/01/2006 00:04:00,99.98732
1/01/2006 00:05:00,99.98911
1/01/2006 00:06:00,100.0014
1/01/2006 00:07:00,100.0078
1/01/2006 00:08:00,100.0143
1/01/2006 00:09:00,100.0343
1/01/2006 00:10:00,100.0366
1/01/2006 00:11:00,100.0176
1/01/2006 00:12:00,100.0208
1/01/2006 00:13:00,100.0387
1/01/2006 00:14:00,100.0291
1/01/2006 00:15:00,99.99507
1/01/2006 00:16:00,99.98386
1/01/2006 00:17:00,100.0108
1/01/2006 00:18:00,100.0303
1/01/2006 00:19:00,100.038
1/01/2006 00:20:00,100.0228
1/01/2006 00:21:00,99.97541
1/01/2006 00:22:00,99.95947
1/01/2006 00:23:00,99.97292
1/01/2006 00:24:00,99.99001
1/01/2006 00:25:00,99.99052
1/01/2006 00:26:00,100.0078
1/01/2006 00:27:00,100.0061
1/01/2006 00:28:00,100.0015
1/01/2006 00:29:00,100.0078
1/01/2006 00:30:00,100.0044
1/01/2006 00:31:00,99.98745
1/01/2006 00:32:00,100.0051
1/01/2006 00:33:00,99.98591
1/01/2006 00:34:00,100.0006
1/01/2006 00:35:00,100.006
1/01/2006 00:36:00,99.98047
1/01/2006 00:37:00,99.9806
1/01/2006 00:38:00,99.98476
1/01/2006 00:39:00,100.0078
1/01/2006 00:40:00,100.0001
1/01/2006 00:41:00,100.0076
1/01/2006 00:42:00,100.0078
1/01/2006 00:43:00,99.99321
1/01/2006 00:44:00,100.0063
1/01/2006 00:45:00,100.0078
1/01/2006 00:46:00,100.001
1/01/2006 00:47:00,100
1/01/2006 00:48:00,99.98367
1/01/2006 00:49:00,99.96126
1/01/2006 00:50:00,99.97586
1/01/2006 00:51:00,99.98969
1/01/2006 00:52:00,99.98617
1/01/2006 00:53:00,99.98438
1/01/2006 00:54:00,99.98438
1/01/2006 00:55:00,99.99564
1/01/2006 00:56:00,100.0055
1/01/2006 00:57:00,100.0024
1/01/2006 00:58:00,100
1/01/2006 00:59:00,100.0051
1/01/2006 01:00:00,99.99783
1/01/2006 01:01:00,99.97515
1/01/2006 01:02:00,99.97432
1/01/2006 01:03:00,99.9966
1/01/2006 01:04:00,100.0101
1/01/2006 01:05:00,100.0291
1/01/2006 01:06:00,100.0261
1/01/2006 01:07:00,100.0158
1/01/2006 01:08:00,100.0056
1/01/2006 01:09:00,99.99603
1/01/2006 01:10:00,100.0037
1/01/2006 01:11:00,100.0168
1/01/2006 01:12:00,100.0152
1/01/2006 01:13:00,100.0117
1/01/2006 01:14:00,100.0305
1/01/2006 01:15:00,100.0219
1/01/2006 01:16:00,100
1/01/2006 01:17:00,100
1/01/2006 01:18:00,99.99513
1/01/2006 01:19:00,99.97861
1/01/2006 01:20:00,99.96049
1/01/2006 01:21:00,99.95741
1/01/2006 01:22:00,99.98143
1/01/2006 01:23:00,99.98975
1/01/2006 01:24:00,100.0086
1/01/2006 01:25:00,100.0056
1/01/2006 01:26:00,99.97624
1/01/2006 01:27:00,99.96088
1/01/2006 01:28:00,99.98105
1/01/2006 01:29:00,99.98745
1/01/2006 01:30:00,100.0069
1/01/2006 01:31:00,100
1/01/2006 01:32:00,99.99936
1/01/2006 01:33:00,99.99219
1/01/2006 01:34:00,99.99296
1/01/2006 01:35:00,100.0082
1/01/2006 01:36:00,100.0195
1/01/2006 01:37:00,100.0195
1/01/2006 01:38:00,100.0349
1/01/2006 01:39:00,100.054
1/01/2006 01:40:00,100.0547
1/01/2006 01:41:00,100.0474
1/01/2006 01:42:00,100.0469
1/01/2006 01:43:00,100.0222
1/01/2006 01:44:00,100.0264
1/01/2006 01:45:00,100.0341
1/01/2006 01:46:00,99.99853
1/01/2006 01:47:00,99.98566
1/01/2006 01:48:00,99.99078
1/01/2006 01:49:00,99.98277
1/01/2006 01:50:00,99.98354
1/01/2006 01:51:00,99.99641
1/01/2006 01:52:00,99.97938
1/01/2006 01:53:00,99.9813
1/01/2006 01:54:00,100.0154
1/01/2006 01:55:00,100.0163
1/01/2006 01:56:00,99.99827
1/01/2006 01:57:00,99.95543
1/01/2006 01:58:00,99.95031
1/01/2006 01:59:00,99.97202
1/01/2006 02:00:00,99.96587
1/01/2006 02:01:00,99.95703
1/01/2006 02:02:00,99.97086
1/01/2006 02:03:00,99.98047
